Price,Close,High,Low,Open,Volume
Ticker,^OEX,^OEX,^OEX,^OEX,^OEX
Date,,,,,
2022-12-23,1710.7099609375,1711.56005859375,1688.3399658203125,1696.9100341796875,2819280000
2022-12-27,1700.1400146484375,1710.010009765625,1693.56005859375,1709.010009765625,3030300000
2022-12-28,1680.5400390625,1709.97998046875,1679.239990234375,1699.77001953125,3083520000
2022-12-29,1711.280029296875,1715.4000244140625,1692.06005859375,1692.06005859375,3003680000
2022-12-30,1709.1700439453125,1709.3599853515625,1690.3800048828125,1701.050048828125,2979870000
2023-01-03,1701.9300537109375,1726.949951171875,1687.800048828125,1715.0400390625,3959140000
2023-01-04,1710.27001953125,1719.97998046875,1692.6400146484375,1709.1700439453125,4414080000
2023-01-05,1690.6500244140625,1705.3800048828125,1688.1300048828125,1705.3800048828125,3893450000
2023-01-06,1727.6500244140625,1732.8900146484375,1687.6099853515625,1696.22998046875,3923560000
2023-01-09,1726.1800537109375,1754.800048828125,1724.800048828125,1736.27001953125,4311770000
2023-01-10,1737.800048828125,1738.0699462890625,1718.9599609375,1724.3900146484375,3851030000
2023-01-11,1761.4000244140625,1761.5999755859375,1740.9100341796875,1743.6500244140625,4303360000
2023-01-12,1767.6700439453125,1774.469970703125,1745.969970703125,1765.2099609375,4440260000
2023-01-13,1776.5699462890625,1778.530029296875,1751.550048828125,1757.0799560546875,3939700000
2023-01-17,1773.22998046875,1784.2900390625,1768.550048828125,1776.6300048828125,4235560000
2023-01-18,1744.77001953125,1782.300048828125,1743.6099853515625,1779.0,4298710000
2023-01-19,1732.8699951171875,1743.7900390625,1726.3299560546875,1736.8199462890625,3991500000
2023-01-20,1767.27001953125,1767.3199462890625,1733.5799560546875,1738.68994140625,4013360000
2023-01-23,1789.449951171875,1798.5999755859375,1766.0699462890625,1770.2099609375,3945210000
2023-01-24,1788.3299560546875,1791.7099609375,1775.739990234375,1778.5400390625,3320430000
2023-01-25,1786.7099609375,1788.8900146484375,1755.6800537109375,1770.3299560546875,3724020000
2023-01-26,1808.8199462890625,1809.3399658203125,1787.0,1797.4100341796875,3809590000
2023-01-27,1817.239990234375,1828.780029296875,1804.760009765625,1806.1300048828125,3907760000
2023-01-30,1790.760009765625,1812.4100341796875,1789.6500244140625,1805.8299560546875,3802000000
2023-01-31,1816.2900390625,1816.5699462890625,1790.97998046875,1791.949951171875,4679320000
2023-02-01,1836.5799560546875,1850.4300537109375,1798.68994140625,1814.6199951171875,4856930000
2023-02-02,1872.4300537109375,1879.18994140625,1852.4000244140625,1861.510009765625,5624360000
2023-02-03,1854.7900390625,1879.1300048828125,1844.9100341796875,1847.3199462890625,4694510000
2023-02-06,1844.3299560546875,1850.1300048828125,1834.6199951171875,1846.739990234375,4114240000
2023-02-07,1870.97998046875,1876.949951171875,1835.9100341796875,1842.81005859375,4355860000
2023-02-08,1847.6099853515625,1868.1500244140625,1845.02001953125,1866.3299560546875,4029820000
2023-02-09,1830.9200439453125,1867.02001953125,1825.2099609375,1861.8499755859375,4270200000
2023-02-10,1831.8299560546875,1834.0999755859375,1819.1099853515625,1823.77001953125,3891520000
2023-02-13,1854.9200439453125,1855.6700439453125,1833.8399658203125,1835.760009765625,3448620000
2023-02-14,1855.949951171875,1864.780029296875,1835.9200439453125,1849.8399658203125,3929200000
2023-02-15,1859.739990234375,1859.969970703125,1840.4000244140625,1848.6099853515625,4075980000
2023-02-16,1831.510009765625,1855.3199462890625,1831.1099853515625,1844.010009765625,4143660000
2023-02-17,1826.06005859375,1827.1300048828125,1810.1400146484375,1824.4300537109375,4045480000
2023-02-21,1788.6400146484375,1811.989990234375,1788.050048828125,1811.52001953125,4121590000
2023-02-22,1786.4599609375,1798.260009765625,1779.969970703125,1790.68994140625,4079320000
